variable	low_sound_T	low_sound_p_raw	low_sound_p_corrected	high_sound_T	high_sound_p_raw	high_sound_p_corrected	low_action_T	low_action_p_raw	low_action_p_corrected	high_action_T	high_action_p_raw	high_action_p_corrected
word_length	0.3559	0.7224	0.99134	0.0	1.0	1.0	1.2077	0.22888	0.8539	-0.9379	0.34964	0.86659
log10_word_frequency_sdewac	0.5665	0.5718	0.99134	0.0	1.0	1.0	-0.289	0.77296	0.99868	-0.3669	0.71414	0.86659
word_average_bigram_frequency	0.0109	0.99134	0.99134	0.0	1.0	1.0	-0.0113	0.99104	0.99868	0.7134	0.47659	0.86659
word_average_trigram_frequency	-1.0955	0.27488	0.99134	0.0	1.0	1.0	-0.7964	0.42695	0.8539	-1.3594	0.17587	0.86659
old20_score	0.3559	0.7224	0.99134	0.0	1.0	1.0	1.2077	0.22888	0.8539	-0.9379	0.34964	0.86659
predicted_concreteness	-0.2131	0.83148	0.99134	0.0	1.0	1.0	-0.1399	0.88888	0.99868	1.6201	0.10711	0.86659
predicted_visual	-1.9999	0.04714	0.65993	0.0	1.0	1.0	-0.9313	0.35304	0.8539	-0.2477	0.80469	0.86659
predicted_gustatory	0.6022	0.54789	0.99134	0.0	1.0	1.0	0.8894	0.37507	0.8539	0.7316	0.46545	0.86659
predicted_olfactory	0.3041	0.76143	0.99134	0.0	1.0	1.0	1.0177	0.31032	0.8539	0.7642	0.44585	0.86659
predicted_auditory	0.3689	0.71264	0.99134	0.0	1.0	1.0	0.0359	0.97139	0.99868	0.3077	0.75871	0.86659
predicted_hand	-0.0255	0.97972	0.99134	0.0	1.0	1.0	-0.1418	0.88744	0.99868	-0.0077	0.99388	0.99388
predicted_valence	0.3657	0.71503	0.99134	0.0	1.0	1.0	-0.0017	0.99868	0.99868	0.5962	0.55183	0.86659
predicted_arousal	0.4198	0.67521	0.99134	0.0	1.0	1.0	0.9915	0.32288	0.8539	-0.426	0.67069	0.86659
predicted_dominance	-0.0691	0.94501	0.99134	0.0	1.0	1.0	-0.1147	0.9088	0.99868	0.5663	0.57196	0.86659
